                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.7787,                 1.1078,                 1.4357,                0.85973,                0.73522,                0.79564,                0.37377,                 1.9821,                 1.0845,                  1.671,               0.006403,               0.006403,               0.006403
                    112,                 1.7816,                 1.0932,                 1.4445,                0.83909,                0.70686,                0.76633,                0.35238,                 1.9428,                 1.1316,                 1.6538,                0.00637,                0.00637,                0.00637
                    113,                 1.7586,                 1.0912,                 1.4581,                0.85793,                0.73524,                 0.8045,                0.37656,                 1.9411,                 1.1205,                 1.6338,               0.006337,               0.006337,               0.006337
                    114,                 1.7759,                 1.0763,                 1.4412,                0.84888,                0.72631,                0.81115,                0.39493,                 1.8798,                 1.0949,                 1.6241,               0.006304,               0.006304,               0.006304
                    115,                 1.7657,                 1.0888,                 1.4294,                0.81558,                0.73328,                0.77883,                0.37946,                 1.9331,                 1.1511,                 1.6489,               0.006271,               0.006271,               0.006271
                    116,                   1.76,                 1.0818,                 1.4291,                0.82008,                0.75023,                 0.7789,                0.35394,                 1.9786,                 1.1029,                 1.6694,               0.006238,               0.006238,               0.006238
                    117,                 1.7296,                 1.0488,                 1.4263,                0.86421,                0.73417,                0.79946,                0.38004,                 1.9215,                 1.0825,                 1.6291,               0.006205,               0.006205,               0.006205
                    118,                 1.7478,                 1.0765,                  1.441,                0.83704,                0.74542,                0.80149,                0.37149,                 1.9539,                 1.0741,                 1.6566,               0.006172,               0.006172,               0.006172
                    119,                 1.7457,                 1.0686,                  1.428,                0.86606,                0.72908,                0.80001,                0.39436,                 1.9293,                 1.0946,                 1.6212,               0.006139,               0.006139,               0.006139
                    120,                 1.7345,                 1.0573,                  1.435,                0.86469,                0.76352,                0.81442,                0.38157,                 1.9433,                  1.032,                 1.6438,               0.006106,               0.006106,               0.006106
                    121,                 1.7532,                 1.0525,                 1.4124,                  0.849,                0.75331,                0.80279,                0.38587,                 1.9764,                 1.0652,                 1.6786,               0.006073,               0.006073,               0.006073
                    122,                 1.7195,                 1.0532,                 1.4194,                0.86939,                0.69018,                0.77062,                0.36291,                 2.0204,                  1.138,                 1.6972,                0.00604,                0.00604,                0.00604
                    123,                 1.7269,                 1.0479,                 1.4082,                0.83936,                0.75636,                0.79631,                0.37786,                 1.9642,                 1.0993,                 1.6512,               0.006007,               0.006007,               0.006007
                    124,                 1.7489,                 1.0581,                  1.419,                0.86071,                0.74865,                0.82673,                0.38292,                 1.9772,                 1.0635,                 1.6531,               0.005974,               0.005974,               0.005974
                    125,                 1.7151,                 1.0408,                 1.3924,                0.82663,                0.75924,                0.81253,                0.39252,                 1.8889,                 1.0681,                 1.6106,               0.005941,               0.005941,               0.005941
                    126,                 1.7015,                 1.0239,                 1.4024,                0.85802,                0.78075,                0.83808,                0.40424,                 1.9191,                 1.0378,                 1.6276,               0.005908,               0.005908,               0.005908
                    127,                  1.751,                 1.0427,                 1.4269,                0.88039,                0.73397,                0.81166,                 0.3934,                 1.9087,                  1.067,                 1.6279,               0.005875,               0.005875,               0.005875
                    128,                 1.7076,                 1.0214,                 1.3947,                0.82896,                0.75512,                0.80314,                0.38352,                 1.8715,                  1.104,                 1.5968,               0.005842,               0.005842,               0.005842
                    129,                 1.7085,                 1.0369,                  1.397,                0.85484,                0.73897,                0.80514,                0.38283,                 1.9584,                 1.0844,                 1.6472,               0.005809,               0.005809,               0.005809
                    130,                 1.7377,                 1.0265,                 1.4036,                0.84732,                0.76455,                0.82009,                0.39856,                 1.9345,                 1.0657,                 1.6237,               0.005776,               0.005776,               0.005776
                    131,                 1.7083,                 1.0452,                 1.4281,                  0.863,                0.77708,                0.82385,                0.40254,                  1.906,                 1.0641,                  1.625,               0.005743,               0.005743,               0.005743
                    132,                 1.7021,                 1.0206,                 1.4024,                0.89796,                 0.7621,                0.83663,                0.40555,                 1.9493,                  1.069,                 1.6496,                0.00571,                0.00571,                0.00571
                    133,                 1.6825,                 1.0189,                 1.3787,                0.85783,                0.75055,                0.81323,                0.38866,                 1.9024,                 1.0609,                 1.6194,               0.005677,               0.005677,               0.005677
                    134,                 1.6781,                 1.0211,                 1.3841,                0.89735,                0.78191,                0.84186,                0.40172,                 1.8835,                 1.0363,                 1.6147,               0.005644,               0.005644,               0.005644
