                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.7014,                  1.037,                 1.3899,                0.84627,                 0.7217,                0.78344,                 0.3813,                 1.9175,                 1.1017,                 1.5946,               0.006997,               0.006997,               0.006997
                     94,                 1.6746,                 1.0302,                 1.3845,                0.85614,                0.71724,                0.77795,                0.38738,                 1.8444,                 1.0794,                 1.5807,               0.006964,               0.006964,               0.006964
                     95,                 1.6862,                 1.0369,                 1.3819,                0.82805,                0.77784,                0.81106,                0.40506,                 1.8556,                 1.0585,                 1.5566,               0.006931,               0.006931,               0.006931
                     96,                 1.6913,                 1.0331,                 1.4017,                 0.8809,                0.74789,                0.80808,                0.39958,                 1.9009,                 1.0923,                 1.5721,               0.006898,               0.006898,               0.006898
                     97,                 1.6545,                 1.0147,                 1.3598,                 0.8584,                0.73717,                0.80213,                0.39011,                 1.8918,                 1.0596,                 1.5667,               0.006865,               0.006865,               0.006865
                     98,                 1.6621,                 1.0083,                 1.3759,                0.86476,                0.72967,                0.81399,                0.40192,                 1.9316,                 1.0632,                 1.5981,               0.006832,               0.006832,               0.006832
                     99,                 1.6567,                 1.0078,                   1.38,                0.87548,                0.72863,                0.80857,                 0.4062,                 1.8925,                  1.048,                 1.5771,               0.006799,               0.006799,               0.006799
                    100,                 1.6426,                 1.0202,                 1.3536,                0.85312,                0.72552,                0.79197,                0.38955,                 1.9205,                 1.0524,                  1.588,               0.006766,               0.006766,               0.006766
                    101,                 1.6642,                 1.0067,                 1.3755,                0.86188,                0.77374,                0.81711,                0.40563,                  1.853,                 1.0083,                 1.5404,               0.006733,               0.006733,               0.006733
                    102,                 1.6686,                 1.0007,                 1.3685,                0.88867,                0.73891,                0.81057,                0.38607,                 1.8822,                 1.0248,                 1.5842,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.6549,                0.98922,                 1.3664,                 0.8627,                0.77303,                0.81024,                0.38559,                 1.9472,                 1.0881,                 1.6186,               0.006667,               0.006667,               0.006667
                    104,                 1.6422,                 0.9641,                 1.3452,                 0.8398,                0.76212,                0.79908,                 0.3759,                 1.8669,                 1.0737,                 1.5762,               0.006634,               0.006634,               0.006634
                    105,                  1.634,                0.97782,                 1.3456,                0.85995,                0.76414,                0.80707,                0.38526,                 1.9012,                 1.0764,                 1.6037,               0.006601,               0.006601,               0.006601
                    106,                 1.6445,                 0.9929,                 1.3575,                0.83533,                0.76187,                 0.8015,                0.38222,                 1.9297,                 1.0499,                 1.6127,               0.006568,               0.006568,               0.006568
